Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
0,0,0.000000,0.000000,0.000000,1.000000
1,0,0.000000,0.000000,0.000000,1.000000
2,0,0.000000,0.000000,0.000000,1.000000
3,0,0.000000,0.000000,0.000000,1.000000
4,0,0.000000,0.000000,0.000000,1.000000
5,0,0.381004,0.000000,0.084211,1.000000
6,0,0.190502,0.000000,0.145942,1.000000
7,0,0.190502,0.000000,0.267950,1.000000
8,0,0.190502,0.000000,0.359456,1.000000
9,0,0.190502,0.000000,0.430628,1.000000
10,0,0.190502,0.000000,0.487565,1.000000
11,0,2.473132,0.000000,0.534150,1.000000
12,0,2.473132,0.000000,0.572971,1.000000
13,0,1.648754,0.000000,0.435964,1.000000
14,0,1.648754,0.000000,0.476252,1.000000
15,1,1.236566,0.000000,0.511169,1.000000
16,1,1.236566,0.000000,0.541721,1.000000
17,0,2.323310,0.553589,0.568678,1.000000
18,0,2.323310,0.553589,0.592641,1.000000
19,0,3.448250,0.553589,0.614081,1.000000
20,0,3.448250,0.553589,0.633377,1.000000
21,0,3.448250,0.553589,0.650835,1.000000
22,0,3.448250,0.553589,0.666706,1.000000
23,0,3.448250,0.553589,0.681197,1.000000
24,0,3.448250,0.553589,0.694480,1.000000
25,0,3.448250,0.553589,0.706701,1.000000
26,0,3.448250,0.553589,0.717982,1.000000
27,0,3.448250,0.553589,0.728427,1.000000
28,0,3.448250,0.553589,0.738126,1.000000
29,0,3.448250,0.553589,0.747156,1.000000
30,0,3.448250,0.553589,0.755584,1.000000
31,0,3.448250,0.553589,0.763469,1.000000
32,0,3.448250,0.553589,0.770860,1.000000
33,0,3.448250,0.553589,0.777804,1.000000
34,0,3.448250,0.553589,0.784339,1.000000
35,0,3.448250,0.553589,0.790501,1.000000
36,0,3.448250,0.553589,0.796320,1.000000
37,0,3.448250,0.553589,0.801825,1.000000
38,0,2.758600,0.442871,0.329220,1.000000
39,0,2.758600,0.442871,0.346419,1.000000
40,0,2.634898,0.369059,0.360092,1.000000
41,0,2.634898,0.369059,0.375700,1.000000
42,0,3.101762,0.369059,0.390564,1.000000
43,0,3.101762,0.369059,0.404737,1.000000
44,0,3.101762,0.369059,0.418266,1.000000
45,0,3.101762,0.369059,0.431193,1.000000
46,0,3.101762,0.369059,0.443559,1.000000
47,0,3.101762,0.369059,0.455398,1.000000
48,0,2.658653,0.316336,0.359793,1.000000
49,0,2.658653,0.316336,0.372859,1.000000
50,1,2.326322,0.276794,0.385402,1.000000
51,1,2.326322,0.276794,0.397453,1.000000
