Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
115,20,12.938735,11.447517,0.954786,1.000000
116,20,12.938735,11.447517,0.955176,1.000000
117,20,12.938735,11.447517,0.955559,1.000000
118,21,12.651207,11.193128,0.955936,1.000000
119,21,12.651207,11.193128,0.956306,1.000000
120,21,12.651207,11.193128,0.956670,1.000000
121,21,12.651207,11.193128,0.957028,1.000000
122,20,13.773006,12.276176,0.957381,1.000000
123,21,13.473593,12.009302,0.957727,1.000000
124,23,12.912193,11.508915,0.958068,1.000000
125,23,12.912193,11.508915,0.958403,1.000000
126,23,12.912193,11.508915,0.958734,1.000000
127,24,12.648679,11.274039,0.959058,1.000000
128,24,12.648679,11.274039,0.959378,1.000000
129,25,12.395706,11.048558,0.959693,1.000000
130,26,12.152653,10.831920,0.960003,1.000000
131,26,12.152653,10.831920,0.960309,1.000000
132,26,12.152653,10.831920,0.960609,1.000000
133,26,12.152653,10.831920,0.960905,1.000000
134,26,12.152653,10.831920,0.961197,1.000000
135,25,13.368342,12.014972,0.961485,1.000000
136,24,14.564241,13.172735,0.961768,1.000000
137,24,14.564241,13.172735,0.962047,1.000000
138,24,14.564241,13.172735,0.962322,1.000000
139,24,14.564241,13.172735,0.962593,1.000000
140,24,14.564241,13.172735,0.962860,1.000000
141,24,14.564241,13.172735,0.963124,1.000000
142,24,14.564241,13.172735,0.963383,1.000000
143,24,14.564241,13.172735,0.963639,1.000000
144,24,14.564241,13.172735,0.963892,1.000000
145,23,15.898077,14.495594,0.964141,1.000000
146,23,15.898077,14.495594,0.964386,1.000000
147,24,15.592345,14.216833,0.964629,1.000000
148,24,15.592345,14.216833,0.964868,1.000000
149,24,15.592345,14.216833,0.965103,1.000000
150,25,15.298150,13.948591,0.965336,1.000000
151,25,15.298150,13.948591,0.965566,1.000000
152,26,15.014851,13.690283,0.965792,1.000000
153,25,16.414216,15.086299,0.966016,1.000000
154,26,16.115776,14.812003,0.966237,1.000000
155,26,16.115776,14.812003,0.966454,1.000000
156,26,16.115776,14.812003,0.966669,1.000000
157,24,18.994035,17.681360,0.966882,1.000000
158,23,20.452108,19.094574,0.967091,1.000000
159,22,21.881566,20.475218,0.967298,1.000000
160,22,21.881566,20.475218,0.967503,1.000000
161,22,21.881566,20.475218,0.967704,1.000000
162,21,23.315941,21.901846,0.967904,1.000000
163,21,23.315941,21.901846,0.968101,1.000000
164,21,23.315941,21.901846,0.968295,1.000000
165,22,22.899585,21.510741,0.968487,1.000000
166,22,22.899585,21.510741,0.968677,1.000000
167,22,22.899585,21.510741,0.968865,1.000000
168,22,22.899585,21.510741,0.969050,1.000000
169,22,22.899585,21.510741,0.969233,1.000000
170,23,22.497838,21.133360,0.969414,1.000000
171,24,22.109944,20.768991,0.969593,1.000000
