,L,Mean n-L
380,380,91.52304514308746
381,381,91.5247888913521
382,382,91.52652767140957
383,383,91.52827156015076
384,384,91.53001551918736
385,385,91.53175954852364
386,386,91.53350364816383
387,387,91.53524277911032
388,388,91.53696686285576
389,389,91.53869605531031
390,390,91.54042531747632
391,391,91.5421496099498
392,392,91.54387397194002
393,393,91.54559840345112
394,394,91.54732290448736
395,395,91.54904747505292
396,396,91.550772115152
397,397,91.55249682478882
398,398,91.55422160396758
399,399,91.55594645269248
400,400,91.55767137096774
401,401,91.55939131837336
402,402,91.56110629460865
403,403,91.5628213400004
404,404,91.5645314138237
405,405,91.56624659743926
406,406,91.5679467274267
407,407,91.56964692597745
408,408,91.57134719309566
409,409,91.57304248754815
410,410,91.57473785037305
411,411,91.57643832301518
412,412,91.57814390578366
413,413,91.57984451569968
414,414,91.58154519420805
415,415,91.5832459413129
416,416,91.58494675701839
417,417,91.58664764132868
418,418,91.58834859424792
419,419,91.59005465803433
420,420,91.59175574828559
421,421,91.59345690715827
422,422,91.5951581346565
423,423,91.59684934546262
424,424,91.59854062449573
425,425,91.60023197175995
426,426,91.6019334731916
427,427,91.60363504326952
428,428,91.6053366819979
429,429,91.60703838938089
430,430,91.60874016542263
431,431,91.61043696665254
432,432,91.61213383634603
433,433,91.61383077450724
434,434,91.6155227373603
435,435,91.61721476848582
436,436,91.61890182390445
437,437,91.62058894740028
438,438,91.62227109479036
439,439,91.62394826577349
440,440,91.62562550443906
441,441,91.62729776629875
442,442,91.6289650510513
443,443,91.63063240309138
444,444,91.63229982242312
445,445,91.63397235395016
446,446,91.63564495298058
447,447,91.63731257441528
448,448,91.63898026315789
449,449,91.64064297390567
450,450,91.64231584258324
451,451,91.64398373327413
452,452,91.64565169128926
453,453,91.6473197166327
454,454,91.64899790094054
455,455,91.65068119891008
456,456,91.65237465687066
457,457,91.65407322931594
458,458,91.65578196277906
459,459,91.65749581155004
460,460,91.6592097295115
461,461,91.66092371666768
462,462,91.66263777302272
463,463,91.66435189858086
464,464,91.66607114018088
465,465,91.66778540425962
466,466,91.669499737554
467,467,91.67121414006824
468,468,91.67292861180651
469,469,91.67464315277302
470,470,91.67636281041793
471,471,91.67808758505119
472,472,91.6798124293329
473,473,91.68153229551558
474,474,91.68325223115131
475,475,91.68497223624432
476,476,91.6866923107988
