Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
0,0,0.000000,0.000000,0.000000,1.000000
1,0,0.000000,0.000000,0.000000,1.000000
2,0,0.000000,0.000000,0.000000,1.000000
3,0,0.000000,0.000000,0.257166,1.000000
4,0,0.000000,0.000000,0.442874,1.000000
5,0,2.290371,0.000000,0.554299,1.000000
6,0,2.290371,0.000000,0.628583,1.000000
7,0,1.145186,0.000000,0.327504,1.000000
8,0,1.145186,0.000000,0.411566,1.000000
9,3,0.458074,0.000000,0.476947,1.000000
10,3,0.458074,0.000000,0.529253,1.000000
11,4,0.381729,0.000000,0.572048,1.000000
12,4,0.381729,0.000000,0.607710,1.000000
13,5,0.327196,0.000000,0.637887,1.000000
14,5,0.327196,0.000000,0.663752,1.000000
15,6,0.286296,0.000000,0.686168,1.000000
16,6,0.286296,0.000000,0.705783,1.000000
17,6,0.286296,0.000000,0.723090,1.000000
18,6,0.286296,0.000000,0.738474,1.000000
19,7,0.254486,0.000000,0.752238,1.000000
20,6,1.653922,1.255246,0.764626,1.000000
21,6,1.653922,1.255246,0.775835,1.000000
22,6,1.653922,1.255246,0.786024,1.000000
23,8,1.353209,1.027019,0.795327,1.000000
24,6,4.124796,3.748284,0.803855,1.000000
25,7,3.781063,3.435927,0.811701,1.000000
26,8,3.490212,3.171625,0.818943,1.000000
27,8,3.490212,3.171625,0.825649,1.000000
28,9,4.279738,3.868053,0.831876,1.000000
29,9,4.279738,3.868053,0.837673,1.000000
30,9,4.279738,3.868053,0.843084,1.000000
31,9,4.279738,3.868053,0.848146,1.000000
32,9,4.279738,3.868053,0.852891,1.000000
33,11,3.776239,3.412988,0.857349,1.000000
34,12,3.566448,3.223378,0.861545,1.000000
35,14,3.209803,2.901040,0.865501,1.000000
36,14,3.209803,2.901040,0.869237,1.000000
37,14,3.209803,2.901040,0.872771,1.000000
38,15,3.056956,2.762895,0.876119,1.000000
39,16,2.918003,2.637309,0.879296,1.000000
40,16,2.918003,2.637309,0.882313,1.000000
41,17,2.791133,2.522643,0.885184,1.000000
42,17,2.791133,2.522643,0.887917,1.000000
43,17,2.791133,2.522643,0.890524,1.000000
44,16,4.218415,3.890454,0.893012,1.000000
45,17,4.042648,3.728352,0.895389,1.000000
46,18,3.880942,3.579218,0.897664,1.000000
47,18,3.880942,3.579218,0.899841,1.000000
48,18,3.880942,3.579218,0.901928,1.000000
49,18,3.880942,3.579218,0.903929,1.000000
50,19,3.731675,3.441556,0.905851,1.000000
51,19,3.731675,3.441556,0.907697,1.000000
